usuario,sexo,publicacion
mpg_hombre_2,hombre,"Cada año, alguna red social cambia su algoritmo y de repente todo lo que ves en tu feed es contenido que no te interesa. Antes era más fácil descubrir cosas nuevas, ahora es un bombardeo de tendencias y videos repetidos. Extraño cuando internet era más espontáneo y menos controlado por inteligencias artificiales que deciden qué debes ver."
mpg_hombre_2,hombre,"Cuando veo cómo funcionan las elecciones en este país, me queda claro que gane quien gane, siempre habrá gente que diga que todo está mal. No digo que no haya políticos que valgan la pena, pero al final, el sistema es el mismo y las promesas se las lleva el viento. Cada seis años, la misma historia."
mpg_hombre_2,hombre,"El otro día me tocó un control de alcoholemia y me sorprendió ver que había más policías que en cualquier otro operativo contra delincuencia real. No digo que esté mal prevenir accidentes, pero si pusieran la misma energía en otras áreas, el país sería muy diferente."
mpg_hombre_2,hombre,"Cada que sacan una película ""polémica"", la gente ya tiene su opinión antes de verla. Es como si no importara la historia ni el trabajo detrás, lo único que cuenta es si encaja con lo que ya pensaban antes de entrar al cine. A veces me pregunto si la gente realmente disfruta el cine o solo lo usa como excusa para discutir en internet."
mpg_hombre_2,hombre,"Ya no puedes criticar nada sin que alguien te ataque como si hubieras insultado a su familia. Si dices que no te gustó una película, te llaman hater; si te gustó, te dicen que no tienes criterio. Todo se volvió blanco o negro, nadie acepta que puede haber opiniones diferentes sin necesidad de pelear."
mpg_hombre_2,hombre,"Me sorprende lo rápido que pasa la indignación en redes sociales. Un día, todos están enojados por algo y al siguiente ya se les olvidó porque salió otra polémica nueva. Es como si la gente solo buscara algo de qué quejarse, sin importar si realmente les afecta o no."
mpg_hombre_2,hombre,"A veces veo políticos peleando entre ellos en Twitter y me pregunto si de verdad creen que eso soluciona algo. Mientras ellos se avientan indirectas, la gente sigue sin servicios básicos, sin empleo y con los mismos problemas de siempre. Pero bueno, al menos se entretienen insultándose entre ellos."
mpg_hombre_2,hombre,"Antes, cuando algo era bueno, la gente lo disfrutaba y ya. Ahora todo tiene que ser analizado hasta el último detalle, criticado desde mil perspectivas y convertido en debate. A veces solo quiero ver una película sin sentir que tengo que tomar partido en una guerra ideológica."
mpg_hombre_2,hombre,"La inflación está tan loca que hasta los tacos ya son un lujo. Antes ibas con 100 pesos y salías satisfecho, ahora te alcanza para dos tacos y un refresco. Si esto sigue así, pronto van a empezar a dar financiamiento para comprar una orden de pastor."
mpg_hombre_1,hombre,"Feliz cumpleaños, hermano. Aunque ya no nos veamos tanto como antes, sabes que siempre estás en mi vida. Gracias por ser el tipo de persona que siempre está cuando se le necesita, aunque sea para echar desmadre o escuchar mis quejas. Hoy se vale comer un pastel entero y no hacer nada productivo. Disfruta tu día."
mpg_hombre_1,hombre,"¿Soy yo o cada vez las tortillas están más caras? Fui por un kilo y cuando me dijeron el precio, pensé que estaba comprando oro en lugar de maíz. Ya ni ganas de hacer tacos, mejor pan con frijoles y a ver qué pasa."
mpg_hombre_1,hombre,"Mi mamá me marcó solo para preguntarme si ya comí. Le dije que sí, aunque la realidad es que apenas voy a ver qué hay en el refri. No sé en qué momento la vida adulta me convirtió en alguien que cena cereal porque no quiere lavar trastes."
mpg_hombre_1,hombre,"Feliz cumpleaños a mi jefe favorito: mi papá. No soy muy bueno para los mensajes cursis, pero sabes que te quiero y te admiro un chingo. Gracias por enseñarme tantas cosas, desde arreglar una fuga hasta que en la vida uno se gana las cosas con esfuerzo. Hoy toca festejar con un buen asado."
mpg_hombre_1,hombre,"No entiendo por qué siempre que lavo mi coche, al día siguiente llueve. Es como si el universo se burlara de mí. La próxima vez mejor espero a que llueva y lo enjuago con un bote de agua."
mpg_hombre_1,hombre,Ayer vi a un niño con la misma mochila que usaba en la primaria y me dio un golpe de nostalgia. ¿En qué momento pasamos de preocuparnos por sacar 10 en la tarea a pagar impuestos y lidiar con el tráfico? Crecer no estaba en mis planes.
mpg_hombre_1,hombre,"Me levanté con toda la intención de hacer ejercicio, pero luego vi que estaba nublado y pensé: ""Hoy no es el día"". Ahora estoy en la cama con una cobija y un café, convencido de que tomé la mejor decisión."
mpg_hombre_1,hombre,"Oye, @Luis, ya páganos lo que debes. Dices que no te alcanza, pero bien que te vi subiendo historias en un restaurante el fin de semana. No es por ser mala onda, pero ya van dos meses y uno también tiene cuentas que pagar."
mpg_hombre_1,hombre,"Hoy se fue la luz en mi casa y me di cuenta de que no sé qué hacer sin internet. Me senté en la sala como si estuviera castigado, viendo la pared y esperando a que regresara la civilización. Nunca valoramos la electricidad hasta que nos la quitan."
mpg_hombre_1,hombre,"Siempre digo que voy a dormir temprano, pero en cuanto me acuesto, me acuerdo de un video que quiero ver, luego de otro y otro… y cuando me doy cuenta, ya son las 2 de la mañana. Luego ando todo el día con sueño, pero eso sí, listo para repetir la historia en la no"
mpg_hombre_1,hombre,Fui al banco pensando que iba a tardar 10 minutos y salí una hora después con ganas de nunca volver. No entiendo por qué siempre hay filas enormes y solo dos cajeros funcionando. Es como si lo hicieran a propósito para probar nuestra paciencia.
mpg_hombre_1,hombre,"Hoy me encontré un billete de $50 en el pantalón que no me ponía hace semanas. No sé cuándo lo metí ahí, pero qué felicidad encontrar dinero cuando no lo esperas. Me sentí millonario por unos segundos."
mpg_hombre_1,hombre,"Me prometí que este mes iba a ahorrar, pero luego vi unos tenis en oferta y me convencí de que era una inversión. Ahora tengo tenis nuevos y cero ahorros."
mpg_hombre_1,hombre,"Qué bonito es salir con amigos y decir ""nada más una chela"" y terminar cerrando el lugar a las 3 de la mañana. Luego uno dice que ya no va a tomar tanto, pero sabemos que es mentira."
mpg_hombre_1,hombre,"No sé qué está pasando, pero cada vez que voy al súper siento que todo cuesta el doble. Antes con $500 hacías la despensa de la semana, ahora con eso apenas te alcanza para el papel de baño y un par de aguacates."
mpg_hombre_1,hombre,"Feliz cumpleaños, mamá. No hay palabras para agradecerte todo lo que has hecho por mí. Te quiero mucho y espero que hoy la pases increíble. Gracias por siempre preocuparte por mí, aunque ya sea un adulto y todavía me digas que lleve suéter."
mpg_hombre_1,hombre,Ayer intenté arreglar algo en la casa sin ver tutoriales de YouTube y fue un grave error. Terminé llamando a un plomero y gastando más de lo que hubiera costado desde el principio. Moraleja: no todo se puede resolver con cinta adhesiva.
mpg_hombre_1,hombre,¿Por qué los domingos pasan tan rápido y los lunes parecen eternos? Uno parpadea y ya es domingo en la noche con el estrés de que empieza otra semana. Deberíamos tener un día extra solo para descansar del domingo.
mpg_hombre_1,hombre,"Vi un meme que decía ""eres adulto cuando disfrutas ir a comprar cosas para la casa"" y me reí… hasta que me di cuenta de que sí me emociona comprar un sartén nuevo o encontrar un jabón que huele rico. La vida adulta llega sin avisar."
mpg_hombre_1,hombre,"Ayer soñé que era millonario y tenía una casa enorme. Me desperté motivado, pero luego recordé que tengo que pagar la luz y ya se me pasó."
mpg_hombre_1,hombre,"Se siente bien raro cuando encuentras a un excompañero de la escuela y ves que ya tiene hijos, casa y hasta negocios. Yo aquí todavía decidiendo qué cenar."
mpg_hombre_1,hombre,"Nada me da más coraje que mandar un mensaje largo y que solo me respondan ""ok"". Al menos finjan interés, mínimo un ""jaja"" para que no duela tanto."
mpg_hombre_1,hombre,"Nunca falta el amigo que dice ""ahorita llego"" y dos horas después sigue sin aparecer. ¿Por qué son así? No es tan difícil decir la verdad desde el principio."
mpg_hombre_1,hombre,"Mi abuelita me hizo mi comida favorita hoy y me sirvió como si no hubiera comido en una semana. No sé cómo hacen las abuelas para siempre querer darte más comida, pero no me quejo."
mpg_hombre_1,hombre,"Oye, @Carlos, ya estamos en abril y sigues diciendo ""año nuevo, vida nueva"". Mejor acepta que el gym ya no va a pasar este año."
mpg_hombre_1,hombre,Nada me da más risa que ver a la gente peleando en los comentarios de Facebook como si de verdad fueran a cambiar de opinión.
mpg_hombre_1,hombre,¿Por qué los elevadores tardan más cuando tienes prisa? Hoy llegué tarde a una junta porque el elevador decidió detenerse en cada piso. Seguro fue su forma de decirme que tomara las escaleras.
mpg_hombre_1,hombre,"Estaba esperando el camión y vi a un señor que se enojó porque no se detuvo. Se fue caminando enojado, pero el camión se detuvo en la siguiente cuadra. Nunca había visto a alguien tan arrepentido en su vida."
mpg_hombre_1,hombre,"Puse a lavar mi ropa, pero me dio flojera tenderla. Ahora tengo que lavarla otra vez porque ya huele raro. La vida adulta es un ciclo de lavar y olvidar."
mpg_hombre_1,hombre,"Ayer dije que iba a dormir temprano, pero luego me puse a ver videos de gente cocinando cosas que nunca voy a hacer y terminé durmiéndome a las 2 AM."
orrz_mujer_2,mujer,Yo en el baño de la escuela llorando porque me tocó un equipo bien pndj
orrz_mujer_2,mujer,"Mi círculo social es tan reducido que cuándo suena mi teléfono, ya sé que es de la chamba, pa' reclamarme algo"
orrz_mujer_2,mujer,"Ojalá en el cumpleaños de mi ex le deseen lo mejor, porque yo si quiero regresar la neta"
orrz_mujer_2,mujer,"Ya, mija, quieres puro ligue de 1.80, ya ni en la marina piden eso"
orrz_mujer_2,mujer,El Zayn después de tragarse medio Oxxo
orrz_mujer_2,mujer,pues q maluma reemplace a zayn y ya
orrz_mujer_2,mujer,"gracias por tus 20 consejos amiga, pero ya no insultes más a mi precioso"
orrz_mujer_2,mujer,Reto a Zayn a 1 pa 1 en el V Boutique de viaducto ahorita
orrz_mujer_2,mujer,Soltera por decisión (de mi ex)
orrz_mujer_2,mujer,me isieron el antidoping y sali adikto a amar akien nome ama
orrz_mujer_2,mujer,"Ya liguenme, ya no voy a regresar con mi ex"
orrz_mujer_2,mujer,"Miércoles, sin varo, no dormí, sin mensaje de buenos días... la vida es qlera"
orrz_mujer_2,mujer,"""Me llaman de la chamba para preguntarme si voy a llegar"""
orrz_mujer_2,mujer,"adiós vida sexual activa, hola de nuevo mundo de bts y army 🫂"
orrz_mujer_2,mujer,“voy a dormir para no pensarlo” *lo sueña*
orrz_mujer_2,mujer,pensando en todas las personas que he querido con todo mi corazón y ya no sé ni cómo están
orrz_mujer_2,mujer,Yo comiendo mi lonche con la doña de 40 años en el jale:
orrz_mujer_2,mujer,nomas no seguí de migajero porque ya no me quiso aventar más migajas
orrz_mujer_2,mujer,"Me cae mal la gente rogona y aferrada, menos yo, yo soy atm"
orrz_mujer_2,mujer,Yo ahorita a lado de la lavadora 3ncu3rad4 esperando que termine de secar mi ropa para tenderla porque bien vrgs no lave en 3 semanas:
orrz_mujer_2,mujer,"Pq dicen ""le falle a mi generación,yo si quiero casarme y tener hijos"" ps hazlo we a nosotros honestamente nos vale mucha vrg lo q quieras hacer"
orrz_mujer_2,mujer,Nunca entenderé cuál era su propósito al acercarse y hacer que yo me enamorara
orrz_mujer_2,mujer,"sí te extraño, pero wtf contigo"
orrz_mujer_2,mujer,"Si hubiera sabido que nunca volveríamos a vernos, te hubiera pedido unos 500 varos."
orrz_mujer_2,mujer,"Es que tú también preciosa , ¿Cómo le vas a creer que estuvo ocupado 12 hrs y por eso no te habló? Agarra el rollo hermosa."
orrz_mujer_2,mujer,Alex Turner visto hoy en Londres
orrz_mujer_2,mujer,"Casi algo? No gracias, yo soy más de casi nada"
orrz_mujer_2,mujer,CADA DÍA AMANEZCO ENAMORADA DE JUNGKOOK PERO HOY EXAGERÉEEEEE
orrz_mujer_2,mujer,"tú estarás en sus dms pero yo, ...pero yo estemmmm yoo mmmm"
orrz_mujer_2,mujer,"Cuando tu teléfono te golpea con ""hoy hace un año"""
mgca_hombre_2,hombre,Cientos De Personas Acuden Año Con Año A Visitar Al Santo Niño Perdido En La Comunidad Del Tlacuache Pénjamo Gto
mgca_hombre_2,hombre,Linda Noche Al Estilo Anime Desde Mi Pénjamo Gto ¿Sabes Que Templo Es?
mgca_hombre_2,hombre,Excelente Tarde De Sábado Desde La Carretera De La Herradura
mgca_hombre_2,hombre,Una Verdadera Chulada Recorrer La Naturaleza Por Mi Pénjamo Gto
mgca_hombre_2,hombre,Una Capirotada De Leche Pal Postre ¿Que Otra Comida Es Típica De Cuaresma?
mgca_hombre_2,hombre,A Comer Unos Ricos Chiles Rellenos Para La Cuaresma
mgca_hombre_2,hombre,Así Comenzamos Nuestro Último Viernes Del Mes De Marzo Desde Mi Pénjamo Gto
mgca_hombre_2,hombre,Bello Atardecer Desde La Carretera A Magallanes Fraccionamiento San José Pénjamo Gto
mgca_hombre_2,hombre,Feliz Miércoles Ombligo De Semana Bastante Caluroso
mgca_hombre_2,hombre,A Cualquier Hora Luce Hermosa Nuestra Parroquia De San Francisco De Asís
mgca_hombre_2,hombre,Ya Cliente Frecuente La Mortalika No Abra Un Descuento
mgca_hombre_2,hombre,Tomando Agua En Los Nacimientos De Magallanes Video En YouTube
mgca_hombre_2,hombre,Buenos Dias Desde La Presa De La Golondrina
mgca_hombre_2,hombre,Nada Mejor Que Disfrutar De Un Atardecer Desde La Presa De La Golondrina
mgca_hombre_2,hombre,Linda Tarde De Lunes Saludos Desde La Calle San Miguel
mgca_hombre_2,hombre,Vamos Por Unos Garbanzos Antes De Que Se Acabe La Temporada De Garbanza
mgca_hombre_2,hombre,Domingo De Dar Una Vuelta En Familia Al Jardín Ana María Gallaga
mgca_hombre_2,hombre,Así Se Vivió La Fiesta De San José En La Comunidad De La Ex Hacienda De La Calle
mgca_hombre_2,hombre,Grandes Postales Nos Regaló La Luna Llena En Este Mes De Marzo Linda Noche Para Todos
mgca_hombre_2,hombre,Listos Para El Baile En La Comunidad De La Atarjea
mgca_hombre_2,hombre,"Linda Tarde Desde La Secundaria Oficial, A Cuántos Les Tocó Realizar Su Secundaria En La Oficial"
mgca_hombre_2,hombre,Saludos Para La Bella Ciudad De La Capital De La Fresa Irapuato Gto
mgca_hombre_2,hombre,Si No Le Gusta No Me Paga La Nieve Muy Recomendables
mgca_hombre_2,hombre,"Así Se Vivió La Expo De La Mujer Emprendedora, Mañana Estarán Nuevamente De 8 a 4"
mgca_hombre_2,hombre,Así Arrancamos El Inicio De Semana Desde El Santuario
mgca_hombre_2,hombre,Nada Mejor Que Unas Gorditas De Nata En El Tianguis
mgca_hombre_2,hombre,"Una vuelta por el centro de Pénjamo y se te reinicia la vida, excelente jueves para todos"
mgca_hombre_2,hombre,Nada Mejor Que Desayunar En Los Puestos Del Jardín
mgca_hombre_2,hombre,Bonita Noche De Lunes Desde La Calle San Miguel
mgca_hombre_2,hombre,Bonita Tarde Desde La Calle Av Ojo De Agua De Mi Pénjamo Gto
mpg_mujer_2,mujer,"Hay libros que llegan a tu vida en el momento exacto, como si el universo supiera que los necesitas. A veces, lees una frase y sientes que alguien puso en palabras lo que nunca supiste expresar. Por eso me gusta releer ciertos libros: lo que no me impactó antes, de repente se vuelve esencial."
mpg_mujer_2,mujer,"No entiendo cómo hay gente que dice que no le gusta leer. Es como decir que no te gusta la música o la comida. Hay tantos géneros, tantas historias, tantos estilos… quizá solo no han encontrado el libro adecuado."
mpg_mujer_2,mujer,Una de las mejores sensaciones es entrar a una librería sin buscar nada en especial y salir con un libro que no sabías que necesitabas. Es como si algunas historias te encontraran en lugar de que tú las busques.
mpg_mujer_2,mujer,"Cada vez que alguien dice que leer es aburrido, pienso en lo mal que nos enseñaron a leer en la escuela. Nos obligaban a analizar libros en lugar de disfrutarlos. Leer no debería sentirse como un examen, sino como una aventura."
mpg_mujer_2,mujer,"Me encantan esos libros que parecen escritos con poesía, donde cada frase es tan hermosa que necesitas detenerte para releerla. Algunos autores no solo cuentan historias, crean arte con sus palabras."
mpg_mujer_2,mujer,A veces me pregunto qué pensaría un autor si supiera que su libro sigue siendo leído cientos de años después. Debe ser increíble que lo que escribiste en tu época siga resonando con personas de generaciones completamente distintas.
mpg_mujer_2,mujer,"Nada me da más envidia que ver a alguien leyendo un libro que ya terminé y saber que aún no ha experimentado los giros, los momentos impactantes y el final que a mí me dejó en shock. Ojalá pudiéramos leer nuestros libros favoritos por primera vez otra vez."
mpg_mujer_2,mujer,"Los libros son la mejor manera de viajar sin moverte. Puedes recorrer otros países, otras épocas y hasta otros universos, todo desde la comodidad de tu casa."
mpg_mujer_2,mujer,"Siempre he creído que cada lector tiene un autor que se siente como su alma gemela. Esa persona que escribe justo como a ti te gustaría escribir, que expresa las cosas como si te leyera la mente. Cuando encuentras a ese escritor, cada libro suyo se convierte en un refugio."
mpg_mujer_2,mujer,Algo que disfruto mucho es descubrir frases subrayadas en libros de segunda mano. Es como ver qué pensamientos tocaron el alma de alguien más antes de llegar a mis manos.
mpg_mujer_2,mujer,"Los perros tienen una capacidad increíble de alegrarte el día. Puedes estar en el peor humor, pero llegas a casa y te reciben con tanta emoción que se te olvida todo lo malo. Son un recordatorio diario de que la felicidad está en las cosas más simples."
mpg_mujer_2,mujer,"Los gatos son una combinación extraña entre ternura y actitud de celebridad inalcanzable. Un minuto están ronroneando en tu regazo y al siguiente te miran con desprecio por existir. Pero aun así, no podemos evitar adorarlos."
mpg_mujer_2,mujer,"A veces pienso en cómo sería el mundo si los animales fueran los que tuvieran poder sobre nosotros. Viendo cómo tratamos su hábitat, no me sorprendería que nos dejaran sin comida y nos hicieran vivir en jaulas “para nuestra seguridad”."
mpg_mujer_2,mujer,Nada me pone más de malas que ver a alguien maltratando a un animal. No entiendo qué clase de persona puedes ser si disfrutas hacer sufrir a un ser que solo quiere amor y comida.
mpg_mujer_2,mujer,Uno de mis sueños siempre ha sido tener una casa con un gran jardín y adoptar a todos los perros callejeros que pueda. A veces veo tantos en la calle que me parte el alma no poder hacer más.
mpg_mujer_2,mujer,"Hay estudios que dicen que los perros pueden detectar nuestras emociones. No me sorprende nada, porque cuando he estado triste, el mío siempre lo nota y se queda a mi lado sin que yo tenga que decir nada."
mpg_mujer_2,mujer,"El otro día vi un video de una persona que rescató a un pájaro herido y lo cuidó hasta que pudo volar de nuevo. Me recordó lo importante que es cuidar de los animales, incluso los más pequeños. A veces olvidamos que compartimos este planeta con ellos."
mpg_mujer_2,mujer,"Si alguna vez dudas de que los animales tienen sentimientos, solo observa a un perro cuando su dueño regresa después de un tiempo. La alegría es tan genuina que no puedes evitar sonreír."
mpg_mujer_2,mujer,"Me da tristeza ver cómo hemos destruido el hogar de tantas especies solo por dinero. Muchos animales están en peligro de extinción porque seguimos invadiendo su espacio. Si no cambiamos, pronto solo los veremos en fotos antiguas."
mpg_mujer_2,mujer,"Dicen que los gatos eligen a sus humanos y no al revés. Viendo cómo mi gato ignora a la mayoría de las personas pero siempre se acerca a mí cuando quiere cariño, creo que es verdad."
mpg_mujer_2,mujer,"Anoche salimos con amigos sin ningún plan, solo caminar y ver a dónde nos llevaba la noche. Terminamos en un café a las 2 a.m., hablando de la vida y riéndonos de cosas sin sentido. A veces, los planes improvisados son los mejores."
mpg_mujer_2,mujer,"Lo bonito de tener buenos amigos es que no importa cuánto tiempo pase sin verse, cuando se reúnen, es como si nada hubiera cambiado. Esos son los que realmente valen la pena."
mpg_mujer_2,mujer,"Hay algo especial en salir a cenar con amigos y que la conversación fluya sin esfuerzo. Risas, anécdotas y esa sensación de que, aunque el mundo sea un caos, al menos tienes a tu gente."
mpg_mujer_2,mujer,El otro día salí con amigos y nos dimos cuenta de que ya no aguantamos desvelarnos como antes. A las 11 p.m. ya estábamos bostezando y queriendo ir a casa. Qué rápido se nos vino la adultez encima.
mpg_mujer_2,mujer,"Siempre he creído que una buena amistad se mide en qué tan cómodo te sientes en silencio con alguien. Si puedes sentarte sin hablar, sin que se sienta raro, esa amistad es para siempre."
